species,baseline,pilot,pilot_nbrd,gbif.matched_name,gbif.classification_path,gbif.classification_path_ranks,gbif.classification_path_ids,gbif.taxon_id,gbif.score
Acroloxus lacustris,NA,Y,Y,"Acroloxus lacustris (Linnaeus, 1758)",Animalia|Mollusca|Gastropoda|Acroloxidae|Acroloxus|Acroloxus lacustris,kingdom|phylum|class|family|genus|species,1|52|225|2854|2291337|4359157,4359157,0.988
Agrostis stolonifera,NA,Y,Y,Agrostis stolonifera L.,Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Agrostis|Agrostis stolonifera,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|3073|2706434|2706435,2706435,0.988
Algae filimentous,Y,NA,NA,NA,NA,NA,NA,NA,NA
Alisma lanceolata,Y,NA,NA,NA,NA,NA,NA,NA,NA
Alisma plantago-aquatica,NA,Y,Y,Alisma plantago-aquatica L.,Plantae|Tracheophyta|Liliopsida|Alismatales|Alismataceae|Alisma|Alisma plantago-aquatica,kingdom|phylum|class|order|family|genus|species,6|7707728|196|551|3720|2865099|2865100,2865100,0.988
Alisma plantago aquatica,Y,NA,NA,Alisma plantago R.Br.,Plantae|Tracheophyta|Liliopsida|Alismatales|Alismataceae|Alisma|Alisma plantago,kingdom|phylum|class|order|family|genus|species,6|7707728|196|551|3720|2865099|7327431,7327431,0.988
Alisma sp,NA,Y,Y,Alisma L.,Plantae|Tracheophyta|Liliopsida|Alismatales|Alismataceae|Alisma,kingdom|phylum|class|order|family|genus,6|7707728|196|551|3720|2865099,2865099,0.75
Alopecurus geniculatus,NA,Y,Y,Alopecurus geniculatus L.,Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Alopecurus|Alopecurus geniculatus,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|3073|2705236|5290090,5290090,0.988
Anacamptis pyramidalis,NA,Y,Y,Anacamptis pyramidalis Rich.,Plantae|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Anacamptis|Anacamptis pyramidalis,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1169|7689|2808313|2808330,2808330,0.988
Anisus vortex,NA,Y,Y,"Anisus vortex (Linnaeus, 1758)",Animalia|Mollusca|Gastropoda|Planorbidae|Anisus|Anisus vortex,kingdom|phylum|class|family|genus|species,1|52|225|2851|9570497|4562141,4562141,0.988
Apium nodiflorum,Y,NA,NA,Apium nodiflorum (L.) Lag. Lag. (L.),Plantae|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Helosciadium|Helosciadium nodiflorum,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1351|6720|6026485|3631293,7809784,0.988
Argyroneta aquatica,NA,Y,Y,"Argyroneta aquatica (Clerck, 1757)",Animalia|Arthropoda|Arachnida|Araneae|Dictynidae|Argyroneta|Argyroneta aquatica,kingdom|phylum|class|order|family|genus|species,1|54|367|1496|3407|2179067|2179068,2179068,0.988
Arianta arbustorum,NA,Y,Y,"Arianta arbustorum (Linnaeus, 1758)",Animalia|Mollusca|Gastropoda|Stylommatophora|Helicidae|Arianta|Arianta arbustorum,kingdom|phylum|class|order|family|genus|species,1|52|225|1456|6540|3244077|5778937,5778937,0.988
Baldellia ranunculoides,Y,NA,NA,Baldellia ranunculoides Parl.,Plantae|Tracheophyta|Liliopsida|Alismatales|Alismataceae|Baldellia|Baldellia ranunculoides,kingdom|phylum|class|order|family|genus|species,6|7707728|196|551|3720|2864545|2864546,2864546,0.988
Barbarea vulgaris,Y,NA,NA,Barbarea vulgaris W.T.Aiton,Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Barbarea|Barbarea vulgaris,kingdom|phylum|class|order|family|genus|species,6|7707728|220|7225535|3112|8370997|5708780,5708780,0.988
Bathyomphalus contortus,NA,Y,Y,"Bathyomphalus contortus (Linnaeus, 1758)",Animalia|Mollusca|Gastropoda|Planorbidae|Bathyomphalus|Bathyomphalus contortus,kingdom|phylum|class|family|genus|species,1|52|225|2851|4359150|8028368,8028368,0.988
Berula erecta,Y,Y,Y,Berula erecta (Huds.) Coville Coville (Huds.),Plantae|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Berula|Berula erecta,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1351|6720|3034696|3034699,3034699,0.988
Bithynia leachii,NA,Y,Y,"Bithynia leachii (Sheppard, 1823)",Animalia|Mollusca|Gastropoda|Littorinimorpha|Bithyniidae|Bithynia|Bithynia leachii,kingdom|phylum|class|order|family|genus|species,1|52|225|7390893|2678|3244907|5778074,5778074,0.988
Bithynia tentaculata,NA,Y,Y,"Bithynia tentaculata (Linnaeus, 1758)",Animalia|Mollusca|Gastropoda|Littorinimorpha|Bithyniidae|Bithynia|Bithynia tentaculata,kingdom|phylum|class|order|family|genus|species,1|52|225|7390893|2678|3244907|2299854,2299854,0.988
Bolboschoenus maritimus,NA,Y,Y,Bolboschoenus maritimus (L.) Palla Palla (L.),Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae|Bolboschoenus|Bolboschoenus maritimus,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|7708|2718273|2718307,2718307,0.988
Bulboschaenus maritimus,Y,NA,NA,Bolboschoenus maritimus (L.) Palla Palla (L.),Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae|Bolboschoenus|Bolboschoenus maritimus,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|7708|2718273|2718307,2718307,0.75
Butomus umbellatus,Y,NA,NA,Butomus umbellatus L.,Plantae|Tracheophyta|Liliopsida|Alismatales|Butomaceae|Butomus|Butomus umbellatus,kingdom|phylum|class|order|family|genus|species,6|7707728|196|551|6980|2864463|2864467,2864467,0.988
Callitriche obtusangula,Y,NA,NA,Callitriche obtusangula Le Gall ex Hegelm.,Plantae|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Callitriche|Callitriche obtusangula,kingdom|phylum|class|order|family|genus|species,6|7707728|220|408|2420|3039547|7575485,7575485,0.988
Callitriche sp,NA,Y,NA,Callitriche L.,Plantae|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Callitriche,kingdom|phylum|class|order|family|genus,6|7707728|220|408|2420|3039547,3039547,0.75
Callitriche stagnalis,Y,NA,NA,Callitriche stagnalis Scop.,Plantae|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Callitriche|Callitriche stagnalis,kingdom|phylum|class|order|family|genus|species,6|7707728|220|408|2420|3039547|5372487,5372487,0.988
Caltha palustris,Y,Y,NA,Caltha palustris L.,Plantae|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Caltha|Caltha palustris,kingdom|phylum|class|order|family|genus|species,6|7707728|220|399|2410|3033282|5371685,5371685,0.988
Cardamine pratensis,Y,NA,NA,Cardamine pratensis L.,Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Cardamine|Cardamine pratensis,kingdom|phylum|class|order|family|genus|species,6|7707728|220|7225535|3112|3045622|7972010,7972010,0.988
Carex acutiformis/riparia,Y,NA,NA,Carex L.,Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae|Carex,kingdom|phylum|class|order|family|genus,6|7707728|196|1369|7708|2721893,2721893,0.75
Carex distans,Y,NA,NA,Carex distans L.,Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae|Carex|Carex distans,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|7708|2721893|2726010,2726010,0.988
Carex disticha,Y,Y,Y,Carex disticha Huds.,Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae|Carex|Carex disticha,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|7708|2721893|2725082,2725082,0.988
Carex divisa,Y,Y,Y,Carex divisa Huds.,Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae|Carex|Carex divisa,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|7708|2721893|2723410,2723410,0.988
Carex hirta,Y,NA,NA,Carex hirta L.,Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae|Carex|Carex hirta,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|7708|2721893|2724661,2724661,0.988
Carex otrubae,Y,Y,Y,Carex otrubae Podp.,Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae|Carex|Carex otrubae,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|7708|2721893|2723259,2723259,0.988
Carex paniculata,Y,NA,NA,Carex paniculata L.,Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae|Carex|Carex paniculata,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|7708|2721893|2723371,2723371,0.988
Carex pendula,Y,NA,NA,Carex pendula Huds.,Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae|Carex|Carex pendula,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|7708|2721893|2722051,2722051,0.988
Carex riparia,NA,Y,Y,Carex riparia Moench ex Steud.,Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae|Carex|Carex acuta,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|7708|2721893|2722833,7557775,0.988
Carychium minimum,NA,Y,NA,"Carychium minimum Müller, 1774",Animalia|Mollusca|Gastropoda|Ellobiida|Ellobiidae|Carychium|Carychium minimum,kingdom|phylum|class|order|family|genus|species,1|52|225|9721495|9457|2291060|2291066,2291066,0.988
Cepaea nemoralis,NA,Y,Y,"Cepaea nemoralis (Linnaeus, 1758)",Animalia|Mollusca|Gastropoda|Stylommatophora|Helicidae|Cepaea|Cepaea nemoralis,kingdom|phylum|class|order|family|genus|species,1|52|225|1456|6540|2294278|2294280,2294280,0.988
Cepaea sp,NA,Y,NA,"Cepaea Held, 1838",Animalia|Mollusca|Gastropoda|Stylommatophora|Helicidae|Cepaea,kingdom|phylum|class|order|family|genus,1|52|225|1456|6540|2294278,2294278,0.75
Ceratophyllum demersum,Y,Y,NA,Ceratophyllum demersum L.,Plantae|Tracheophyta|Magnoliopsida|Ceratophyllales|Ceratophyllaceae|Ceratophyllum|Ceratophyllum demersum,kingdom|phylum|class|order|family|genus|species,6|7707728|220|7224003|2425|2882396|2882398,2882398,0.988
Chara globularis,NA,Y,Y,Chara globularis Thuill.,Plantae|Charophyta|Charophyceae|Charales|Characeae|Chara|Chara globularis,kingdom|phylum|class|order|family|genus|species,6|7819616|328|626|8782|2637982|5270780,5270780,0.988
Chara sp.,Y,NA,NA,"Chara Staudinger, 1892",Animalia|Arthropoda|Insecta|Lepidoptera|Noctuidae|Chara,kingdom|phylum|class|order|family|genus,1|54|216|797|7015|1787988,1787988,0.75
Chara vulgaris,NA,Y,Y,Chara vulgaris L.,Plantae|Charophyta|Charophyceae|Charales|Characeae|Chara|Chara vulgaris,kingdom|phylum|class|order|family|genus|species,6|7819616|328|626|8782|2637982|8405500,8405500,0.988
Chenopodium alba,Y,NA,NA,Chenopodium L.,Plantae|Tracheophyta|Magnoliopsida|Caryophyllales|Amaranthaceae|Chenopodium,kingdom|phylum|class|order|family|genus,6|7707728|220|422|3064|3083823,3083823,0.75
Cochlicopa lubrica,NA,Y,NA,"Cochlicopa lubrica (O.F.Müller, 1774)",Animalia|Mollusca|Gastropoda|Stylommatophora|Cochlicopidae|Cochlicopa|Cochlicopa lubrica,kingdom|phylum|class|order|family|genus|species,1|52|225|1456|6544|2295973|2295977,2295977,0.988
Crataegus monogyna,NA,Y,Y,Crataegus monogyna Ledeb.,Plantae|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Crataegus|Crataegus monogyna,kingdom|phylum|class|order|family|genus|species,6|7707728|220|691|5015|3013395|7755128,7755128,0.988
Dytiscus marginalis,NA,Y,Y,"Dytiscus marginalis Linnaeus, 1758 Linnæus, 1758",Animalia|Arthropoda|Insecta|Coleoptera|Dytiscidae|Dytiscus|Dytiscus marginalis,kingdom|phylum|class|order|family|genus|species,1|54|216|1470|7824|1038058|1038064,1038064,0.988
Eleocharis palustris,Y,Y,Y,Eleocharis palustris F.Muell.,Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae|Eleocharis|Eleocharis palustris,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|7708|2716791|8014319,8014319,0.988
Elodea canadensis,NA,Y,Y,Elodea canadensis Michx.,Plantae|Tracheophyta|Liliopsida|Alismatales|Hydrocharitaceae|Elodea|Elodea canadensis,kingdom|phylum|class|order|family|genus|species,6|7707728|196|551|3721|7454696|2865448,2865448,0.988
Elodea nuttallii,Y,Y,Y,Elodea nuttallii St.John,Plantae|Tracheophyta|Liliopsida|Alismatales|Hydrocharitaceae|Elodea|Elodea nuttallii,kingdom|phylum|class|order|family|genus|species,6|7707728|196|551|3721|7454696|5329212,5329212,0.988
Enteromorpha,Y,NA,NA,"Enteromorpha Link, 1820",Plantae|Chlorophyta|Ulvophyceae|Ulvales|Ulvaceae|Ulva,kingdom|phylum|class|order|family|genus,6|36|195|641|9013|9408069,2645431,0.75
Epilobium hirsutum,Y,Y,Y,Epilobium hirsutum L.,Plantae|Tracheophyta|Magnoliopsida|Myrtales|Onagraceae|Epilobium|Epilobium hirsutum,kingdom|phylum|class|order|family|genus|species,6|7707728|220|690|2430|3189067|3189172,3189172,0.988
Epilobium parviflorum,NA,Y,Y,Epilobium parviflorum G.Simpson & J.S.Thomson,Plantae|Tracheophyta|Magnoliopsida|Myrtales|Onagraceae|Epilobium|Epilobium novae-zealandiae,kingdom|phylum|class|order|family|genus|species,6|7707728|220|690|2430|3189067|7980290,7476585,0.988
Equisetum fluviatile,Y,NA,NA,Equisetum fluviatile L.,Plantae|Tracheophyta|Polypodiopsida|Equisetales|Equisetaceae|Equisetum|Equisetum fluviatile,kingdom|phylum|class|order|family|genus|species,6|7707728|7228684|954|3105|2687913|2687937,2687937,0.988
Euconulus cf. fulvus agg,NA,Y,Y,"Euconulus fulvus (Müller, 1774)",Animalia|Mollusca|Gastropoda|Stylommatophora|Euconulidae|Euconulus|Euconulus fulvus,kingdom|phylum|class|order|family|genus|species,1|52|225|1456|4304743|4304719|4304721,4304721,0.988
Euconulus fulvus,NA,Y,NA,"Euconulus fulvus (Müller, 1774)",Animalia|Mollusca|Gastropoda|Stylommatophora|Euconulidae|Euconulus|Euconulus fulvus,kingdom|phylum|class|order|family|genus|species,1|52|225|1456|4304743|4304719|4304721,4304721,0.988
Eupatorium cannabinum,Y,Y,Y,Eupatorium cannabinum L.,Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Eupatorium|Eupatorium cannabinum,kingdom|phylum|class|order|family|genus|species,6|7707728|220|414|3065|3142374|5402943,5402943,0.988
Filamentous algae,NA,Y,Y,NA,NA,NA,NA,NA,NA
Filipendula ulmaria,Y,NA,NA,Filipendula ulmaria (L.) Maxim. Maxim. (L.),Plantae|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Filipendula|Filipendula ulmaria,kingdom|phylum|class|order|family|genus|species,6|7707728|220|691|5015|2987968|2987999,2987999,0.988
Galium aparine,NA,Y,NA,Galium aparine L.,Plantae|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Galium|Galium aparine,kingdom|phylum|class|order|family|genus|species,6|7707728|220|412|8798|2913027|2913548,2913548,0.988
Galium palustre,Y,NA,NA,Galium palustre L.,Plantae|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Galium|Galium palustre,kingdom|phylum|class|order|family|genus|species,6|7707728|220|412|8798|2913027|2913130,2913130,0.988
Glyceria maxima,Y,Y,Y,Glyceria maxima Holmb.,Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Glyceria|Glyceria maxima,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|3073|2705475|2705484,2705484,0.988
Glyceria plicata,Y,NA,NA,Glyceria plicata (Fr.) Fr. Fr. (Fr.),Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Glyceria|Glyceria notata,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|3073|2705475|4105780,2705500,0.988
Gyraulus crista,NA,Y,Y,"Gyraulus crista (Linnaeus, 1758)",Animalia|Mollusca|Gastropoda|Planorbidae|Armiger|Armiger crista,kingdom|phylum|class|family|genus|species,1|52|225|2851|2290961|5189709,2290963,0.988
Hippeutis complanatus,NA,Y,Y,"Hippeutis complanatus (Linnaeus, 1758)",Animalia|Mollusca|Gastropoda|Planorbidae|Hippeutis|Hippeutis complanatus,kingdom|phylum|class|family|genus|species,1|52|225|2851|4407895|4562232,4562232,0.988
Hippuris vulgaris,Y,NA,NA,Hippuris vulgaris L.,Plantae|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Hippuris|Hippuris vulgaris,kingdom|phylum|class|order|family|genus|species,6|7707728|220|408|2420|3039572|5372503,5372503,0.988
Hydrocharis morsus-ranae,Y,Y,Y,Hydrocharis morsus-ranae L.,Plantae|Tracheophyta|Liliopsida|Alismatales|Hydrocharitaceae|Hydrocharis|Hydrocharis morsus-ranae,kingdom|phylum|class|order|family|genus|species,6|7707728|196|551|3721|2865596|5329266,5329266,0.988
Hydrocotyle vulgaris,Y,NA,NA,Hydrocotyle vulgaris L.,Plantae|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Hydrocotyle|Hydrocotyle vulgaris,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1351|6720|3034601|3034606,3034606,0.988
Hypericum tetrapterum,Y,NA,NA,Hypericum tetrapterum Fries,Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Hypericaceae|Hypericum|Hypericum tetrapterum,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1414|4900406|3189452|6436469,6436469,0.988
Iris pseudacorus,Y,Y,Y,Iris pseudacorus L.,Plantae|Tracheophyta|Liliopsida|Asparagales|Iridaceae|Iris|Iris pseudacorus,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1169|7698|2748017|5298231,5298231,0.988
Juncus acutiflorus,NA,Y,Y,Juncus acutiflorus Ehrh. ex Hoffm.,Plantae|Tracheophyta|Liliopsida|Poales|Juncaceae|Juncus|Juncus acutiflorus,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|5353|2701072|2701571,2701571,0.988
Juncus articulatus,Y,Y,Y,Juncus articulatus L.,Plantae|Tracheophyta|Liliopsida|Poales|Juncaceae|Juncus|Juncus articulatus,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|5353|2701072|2701261,2701261,0.988
Juncus bufonius,Y,NA,NA,Juncus bufonius L.,Plantae|Tracheophyta|Liliopsida|Poales|Juncaceae|Juncus|Juncus bufonius,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|5353|2701072|6413649,6413649,0.988
Juncus effusus,Y,NA,NA,Juncus effusus L.,Plantae|Tracheophyta|Liliopsida|Poales|Juncaceae|Juncus|Juncus effusus,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|5353|2701072|2701311,2701311,0.988
Juncus gerardii,Y,NA,NA,Juncus gerardii Loisel.,Plantae|Tracheophyta|Liliopsida|Poales|Juncaceae|Juncus|Juncus gerardii,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|5353|2701072|2701297,2701297,0.988
Juncus inflexus,Y,Y,Y,Juncus inflexus L.,Plantae|Tracheophyta|Liliopsida|Poales|Juncaceae|Juncus|Juncus inflexus,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|5353|2701072|2701841,2701841,0.988
Lathyrus pratensis,Y,NA,NA,Lathyrus pratensis L.,Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Lathyrus|Lathyrus pratensis,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1370|5386|2962244|5356701,5356701,0.988
Leman minuscula,Y,NA,NA,Lemna minuscula Herter,Plantae|Tracheophyta|Liliopsida|Alismatales|Araceae|Lemna|Lemna minuta,kingdom|phylum|class|order|family|genus|species,6|7707728|196|551|6979|2867567|2867614,2867632,0.75
Lemna gibba,Y,NA,NA,Lemna gibba L.,Plantae|Tracheophyta|Liliopsida|Alismatales|Araceae|Lemna|Lemna gibba,kingdom|phylum|class|order|family|genus|species,6|7707728|196|551|6979|2867567|2867569,2867569,0.988
Lemna minor,Y,Y,Y,Lemna minor L.,Plantae|Tracheophyta|Liliopsida|Alismatales|Araceae|Lemna|Lemna minor,kingdom|phylum|class|order|family|genus|species,6|7707728|196|551|6979|2867567|2867589,2867589,0.988
Lemna minuta,NA,Y,Y,Lemna minuta Kunth,Plantae|Tracheophyta|Liliopsida|Alismatales|Araceae|Lemna|Lemna minuta,kingdom|phylum|class|order|family|genus|species,6|7707728|196|551|6979|2867567|2867614,2867614,0.988
Lemna trisulca,Y,Y,Y,Lemna trisulca L.,Plantae|Tracheophyta|Liliopsida|Alismatales|Araceae|Lemna|Lemna trisulca,kingdom|phylum|class|order|family|genus|species,6|7707728|196|551|6979|2867567|2867579,2867579,0.988
Leptodictyum riparium,NA,Y,Y,"Leptodictyum riparium Warnstorf, 1906",Plantae|Bryophyta|Bryopsida|Hypnales|Amblystegiaceae|Leptodictyum|Leptodictyum riparium,kingdom|phylum|class|order|family|genus|species,6|35|327|617|4650|2673525|2673526,2673526,0.988
Lychnis flos-cuculi,Y,NA,NA,Lychnis flos-cuculi L.,Plantae|Tracheophyta|Magnoliopsida|Caryophyllales|Caryophyllaceae|Silene|Silene flos-cuculi,kingdom|phylum|class|order|family|genus|species,6|7707728|220|422|2518|3085897|5384738,3085873,0.988
Lycopus europaeus,Y,NA,NA,Lycopus europaeus L.,Plantae|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Lycopus|Lycopus europaeus,kingdom|phylum|class|order|family|genus|species,6|7707728|220|408|2497|2927122|5341478,5341478,0.988
